principal,pid,datetime
"uid=skskoglund,o=EDI,dc=edirepository,dc=org",edi.1834.2,2025-01-15 21:16:24.339
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.1371.1,2023-03-13 17:29:39.924
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.287.1,2019-01-10 08:23:43.107
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.97.1,2017-08-05 17:14:04.179
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.57.1,2017-08-05 17:04:47.804
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.267.1,2018-12-03 17:06:52.836
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.287.1,2019-01-10 08:23:43.473
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.287.1,2019-01-10 08:23:43.848
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.65.1,2017-08-05 16:19:35.040
"uid=jlemaire,o=EDI,dc=edirepository,dc=org",edi.1516.1,2023-10-20 03:27:49.790
"uid=jlemaire,o=EDI,dc=edirepository,dc=org",edi.1516.1,2023-10-20 03:27:44.533
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.15.1,2017-04-27 15:35:05.904
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.16.1,2017-04-27 15:46:42.424
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.8.2,2017-03-10 14:12:59.795
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.4.3,2017-05-01 08:16:42.576
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.64.1,2017-08-05 16:54:29.508
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.15.2,2017-05-02 10:52:39.185
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.15.2,2017-05-02 10:52:40.072
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.9.3,2017-03-20 15:43:14.887
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.120.2,2017-07-05 14:11:34.586
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.70.1,2017-08-05 16:34:13.406
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.118.1,2017-07-03 10:28:39.938
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.118.2,2017-07-03 10:33:24.188
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.8.3,2017-05-09 16:08:19.854
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.8.3,2017-05-09 16:08:20.157
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.23.1,2017-08-05 16:43:14.866
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.120.1,2017-07-03 13:41:55.206
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.119.2,2017-07-05 14:18:16.450
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.52.1,2017-08-05 17:12:00.641
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.269.3,2023-09-19 18:58:55.791
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.238.4,2019-02-11 17:11:33.310
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.1136.3,2022-09-18 00:29:31.231
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.287.1,2019-01-10 08:23:44.216
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.58.1,2017-08-05 17:11:15.096
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.287.1,2019-01-10 08:23:44.598
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.91.1,2017-08-05 16:20:18.973
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.876.5,2022-11-18 13:51:23.511
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.285.1,2019-01-09 14:55:57.390
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.86.2,2017-08-05 16:21:16.821
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.285.1,2019-01-09 14:55:57.769
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.285.1,2019-01-09 14:55:58.140
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.285.1,2019-01-09 14:55:58.510
